,漲跌幅,AI,CHATGPT,輝達,台積電,成交股數,成交筆數,大戶與散戶比例,TW_Close,TW_Volume,NASDAQ_Close,NASDAQ_Volume,DOW_Close,DOW_Volume,SP_Close,SP_Volume,外資自營商買賣超股數,投信買賣超股數,自營商買賣超股數,淨值(元)
14,0.48%,25.714285714285715,45.857142857142854,1.0,31.0,407187,421,967.1900237529691,15374.6298828125,2745800,11854.349609375,5281970000.0,33301.87109375,321170000.0,4055.989990234375,3837030000.0,0.0,0.0,"334,006",26.75
15,1.04%,25.285714285714285,45.142857142857146,1.0,29.0,266255,639,416.67449139280126,15411.490234375,2616700,12142.240234375,5253710000.0,33826.16015625,343240000.0,4135.35009765625,3750550000.0,0.0,0.0,"153,000",26.99
16,-0.88%,24.857142857142858,44.42857142857143,1.0,27.0,57446,802,71.6284289276808,15579.1796875,2999300,12226.580078125,5331380000.0,34098.16015625,354310000.0,4169.47998046875,4087800000.0,0.0,0.0,"-35,000",27.22
17,-0.19%,24.285714285714285,43.0,1.0,24.428571428571427,77766,883,88.07021517553794,15636.48046875,2915700,12080.509765625,5501410000.0,33684.53125,274460000.0,4119.580078125,4486130000.0,0.0,0.0,"-50,788",26.99
18,-0.41%,24.428571428571427,43.0,1.0,25.142857142857142,152335,566,269.14310954063603,15553.41015625,2511600,12025.330078125,5782160000.0,33414.23828125,286900000.0,4090.75,4246510000.0,0.0,0.0,"-8,955",26.854999999999997
19,1.19%,24.571428571428573,43.0,1.0,25.857142857142858,65411,178,367.47752808988764,15609.0302734375,2461600,11966.400390625,4745780000.0,33127.73828125,305160000.0,4061.219970703125,4920090000.0,0.0,0.0,"-25,957",26.72
20,0.37%,24.714285714285715,43.0,1.0,26.571428571428573,267669,294,910.4387755102041,15626.0703125,2294100,12235.41015625,4574790000.0,33674.37890625,316350000.0,4136.25,4186270000.0,0.0,0.0,"-106,000",27.13
21,-0.07%,25.0,42.714285714285715,1.1428571428571428,28.714285714285715,84453,274,308.2226277372263,15699.5703125,2829600,12256.919921875,4216360000.0,33618.69140625,225680000.0,4138.1201171875,3641640000.0,0.0,0.0,"-5,799",27.3
22,1.25%,25.0,42.42857142857143,1.2857142857142856,29.428571428571427,101156,935,108.18823529411765,15727.7001953125,2864700,12179.5498046875,4126780000.0,33561.80859375,232940000.0,4119.169921875,3810140000.0,0.0,0.0,"23,756",27.25
23,-0.33%,25.0,42.142857142857146,1.4285714285714286,30.142857142857142,25282,623,40.58105939004815,15641.759765625,2366700,12306.4404296875,4948260000.0,33531.328125,271180000.0,4137.64013671875,4057160000.0,0.0,0.0,"7,388",27.54
24,-0.58%,25.0,41.857142857142854,1.5714285714285714,30.857142857142858,79262,426,186.06103286384976,15514.6396484375,2769100,12328.509765625,4489490000.0,33309.51171875,298000000.0,4130.6201171875,3752900000.0,0.0,0.0,"-10,264",27.44
25,0.99%,25.0,41.57142857142857,1.7142857142857142,31.571428571428573,53630,523,102.54302103250478,15502.3603515625,2711900,12284.740234375,4170000000.0,33300.62109375,227570000.0,4124.080078125,3533740000.0,0.0,0.0,"29,335",27.34
26,0.04%,26.0,40.857142857142854,3.571428571428571,33.142857142857146,65564,657,99.79299847792998,15475.0498046875,2444700,12365.2099609375,3979290000.0,33348.6015625,224020000.0,4136.27978515625,3562170000.0,0.0,0.0,"-5,928",27.65
27,1.41%,27.0,40.714285714285715,5.142857142857142,33.285714285714285,70190,387,181.36950904392765,15673.900390625,2617800,12343.0498046875,4067510000.0,33012.140625,246680000.0,4109.89990234375,3654200000.0,0.0,0.0,"12,618",27.63
28,1.79%,28.0,40.57142857142857,6.714285714285714,33.42857142857143,98520,234,421.02564102564105,15925.2900390625,3099200,12500.5703125,4501820000.0,33420.76953125,307130000.0,4158.77001953125,4039080000.0,0.0,0.0,"-65,082",28.06
29,-0.14%,29.0,40.42857142857143,8.285714285714285,33.57142857142857,105184,594,177.07744107744108,16101.8798828125,3379800,12688.83984375,4532890000.0,33535.91015625,333070000.0,4198.0498046875,3980500000.0,0.0,0.0,"54,638",28.5
30,1.02%,30.0,40.285714285714285,9.857142857142858,33.714285714285715,296623,902,328.85033259423506,16174.919921875,3955600,12657.900390625,3935780000.0,33426.62890625,315210000.0,4191.97998046875,4041900000.0,0.0,0.0,"-118,537",28.45
31,-0.80%,33.285714285714285,40.142857142857146,13.714285714285714,34.285714285714285,108763,618,175.99190938511327,16180.8896484375,3311200,12720.7802734375,4278920000.0,33286.578125,268900000.0,4192.6298828125,3728520000.0,0.0,0.0,"-19,760",28.8
32,-0.07%,34.57142857142857,40.285714285714285,14.428571428571429,34.57142857142857,394032,1022,385.5499021526419,16188.0302734375,3041900,12560.25,4347440000.0,33055.51171875,291550000.0,4145.580078125,4155320000.0,0.0,0.0,"-57,736",28.46
33,0.39%,35.85714285714286,40.42857142857143,15.142857142857142,34.857142857142854,78055,60,1300.9166666666667,16159.3203125,2938400,12484.16015625,4088270000.0,32799.921875,246180000.0,4115.240234375,3739160000.0,0.0,0.0,"8,001",28.35
34,2.24%,37.142857142857146,40.57142857142857,15.857142857142858,35.142857142857146,84373,806,104.68114143920596,16292.0,3551900,12698.08984375,4651640000.0,32764.650390625,364670000.0,4151.27978515625,4147760000.0,0.0,0.0,"29,190",28.59
35,-0.24%,38.42857142857143,40.714285714285715,16.571428571428573,35.42857142857143,179689,457,393.1925601750547,16505.05078125,3981600,12975.6904296875,4434070000.0,33093.33984375,330290000.0,4205.4501953125,3715460000.0,0.0,0.0,"105,377",29.25
36,1.20%,39.714285714285715,40.714285714285715,16.142857142857142,35.57142857142857,387774,661,586.6475037821483,16636.30078125,3879200,13017.4296875,4843470000.0,33042.78125,322700000.0,4205.52001953125,4228510000.0,0.0,0.0,"-189,518",29.6
37,-0.85%,38.42857142857143,40.42857142857143,14.285714285714285,35.142857142857146,196212,562,349.1316725978648,16622.740234375,3645500,13017.4296875,4843470000.0,33042.78125,322700000.0,4205.52001953125,4228510000.0,0.0,0.0,"57,989",29.69
38,1.06%,37.14285714285714,40.142857142857146,12.428571428571429,34.714285714285715,501922,758,662.1662269129288,16578.9609375,5023700,12935.2900390625,5905760000.0,32908.26953125,689990000.0,4179.830078125,5980670000.0,0.0,0.0,"-4,514",29.51
39,0.85%,35.857142857142854,39.857142857142854,10.571428571428571,34.285714285714285,160531,801,200.41323345817727,16512.650390625,3888600,13100.98046875,4610310000.0,33061.5703125,349460000.0,4221.02001953125,4391860000.0,0.0,0.0,"11,407",29.54
40,0.60%,34.57142857142857,39.57142857142857,8.714285714285714,33.857142857142854,188766,607,310.9818780889621,16706.91015625,4585600,13240.76953125,4426760000.0,33762.76171875,383590000.0,4282.3701171875,4454200000.0,0.0,0.0,"-27,602",29.88
41,0.83%,32.57142857142857,38.714285714285715,5.0,33.857142857142854,205324,757,271.2338177014531,16714.4296875,4575100,13229.4296875,4344280000.0,33562.859375,367170000.0,4273.7900390625,3813290000.0,0.0,0.0,"-61,773",30.06
42,-1.42%,33.142857142857146,38.42857142857143,5.0,34.714285714285715,279911,1025,273.08390243902437,16761.66015625,3861900,13276.419921875,4810910000.0,33573.28125,294070000.0,4283.85009765625,3996560000.0,0.0,0.0,"15,496",30.36
43,0.77%,33.714285714285715,38.142857142857146,5.0,35.57142857142857,239930,1090,220.11926605504587,16922.48046875,3721800,13104.900390625,5270600000.0,33665.01953125,347400000.0,4267.52001953125,4537800000.0,0.0,0.0,"-98,186",30.07
44,0.50%,34.285714285714285,37.857142857142854,5.0,36.42857142857143,68472,547,125.17733089579525,16733.689453125,3859300,13238.51953125,4280160000.0,33833.609375,269160000.0,4293.93017578125,3826740000.0,0.0,0.0,"-30,000",30.1
45,1.75%,34.857142857142854,37.57142857142857,5.0,37.285714285714285,112505,767,146.6818774445893,16886.400390625,3598000,13259.1396484375,4412710000.0,33876.78125,262310000.0,4298.85986328125,3786510000.0,0.0,0.0,"-22,994",30.15
46,1.40%,35.285714285714285,34.857142857142854,4.857142857142857,36.285714285714285,86263,574,150.28397212543555,16955.369140625,3731500,13461.919921875,4722680000.0,34066.328125,308130000.0,4338.93017578125,3945670000.0,0.0,0.0,"-22,242",30.67
47,0.32%,34.57142857142857,32.714285714285715,4.714285714285714,33.57142857142857,185655,396,468.82575757575756,17216.599609375,3764800,13573.3203125,5522100000.0,34212.12109375,308790000.0,4369.009765625,4275400000.0,0.0,0.0,"50,585",31.21
48,0.38%,33.857142857142854,30.57142857142857,4.571428571428571,30.857142857142858,176598,675,261.62666666666667,17238.140625,4290400,13626.48046875,5772550000.0,33979.328125,354910000.0,4372.58984375,4252110000.0,0.0,0.0,"27,395",31.24
49,-0.13%,33.142857142857146,28.42857142857143,4.428571428571429,28.142857142857142,211637,948,223.2457805907173,17334.98046875,4893200,13782.8203125,5667520000.0,34408.05859375,361400000.0,4425.83984375,4176690000.0,0.0,0.0,"73,372",31.4
50,-0.48%,32.42857142857143,26.285714285714285,4.285714285714286,25.428571428571427,174230,436,399.61009174311926,17288.91015625,6203100,13689.5703125,8076530000.0,34299.12109375,595230000.0,4409.58984375,6848600000.0,0.0,0.0,"22,093",31.35
51,-0.51%,31.428571428571427,21.857142857142858,4.142857142857143,20.857142857142858,573691,649,883.9614791987673,17274.560546875,4654400,13667.2900390625,5237710000.0,34053.87109375,334810000.0,4388.7099609375,4055790000.0,0.0,0.0,"-27,977",30.925
52,-1.77%,31.857142857142858,21.714285714285715,4.285714285714286,21.714285714285715,172278,833,206.81632653061226,17184.91015625,4185300,13667.2900390625,5237710000.0,34053.87109375,334810000.0,4388.7099609375,4055790000.0,0.0,0.0,"57,329",31.18
53,-1.74%,32.285714285714285,21.571428571428573,4.428571428571429,22.57142857142857,95776,732,130.8415300546448,17202.400390625,4354900,13502.2001953125,5194640000.0,33951.51953125,323690000.0,4365.68994140625,3709330000.0,0.0,0.0,"31,827",30.67
54,1.10%,33.57142857142857,20.714285714285715,4.857142857142857,26.142857142857142,238898,955,250.15497382198953,17059.240234375,3970000,13335.7802734375,4430600000.0,33714.7109375,265330000.0,4328.81982421875,3415030000.0,0.0,0.0,"36,000",29.95
55,1.02%,33.142857142857146,20.428571428571427,4.714285714285714,26.285714285714285,62218,915,67.99781420765028,16887.900390625,4028700,13555.669921875,5053660000.0,33926.73828125,293210000.0,4378.41015625,3573500000.0,0.0,0.0,0,30.33
56,0.42%,32.714285714285715,20.142857142857142,4.571428571428571,26.428571428571427,165845,833,199.093637454982,16935.630859375,3256100,13591.75,4533270000.0,33852.66015625,268050000.0,4376.85986328125,3739330000.0,0.0,0.0,0,30.67
